year,Samara
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,5
1951,5
1952,6
1953,6
1954,6
1955,10
1956,6
1957,10
1958,7
1959,7
1960,6
1961,14
1962,9
1963,12
1964,13
1965,15
1966,16
1967,26
1968,26
1969,43
1970,60
1971,89
1972,68
1973,78
1974,74
1975,71
1976,101
1977,117
1978,125
1979,116
1980,104
1981,125
1982,114
1983,100
1984,107
1985,100
1986,104
1987,91
1988,108
1989,128
1990,149
1991,159
1992,145
1993,171
1994,173
1995,179
1996,170
1997,197
1998,204
1999,223
2000,248
2001,261
2002,242
2003,656
2004,856
2005,823
2006,945
2007,706
2008,628
2009,594
2010,486
2011,522
2012,512
