year,Stefani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,6
1941,7
1942,5
1943,7
1944,8
1945,6
1946,11
1947,11
1948,14
1949,12
1950,14
1951,14
1952,33
1953,17
1954,27
1955,22
1956,22
1957,20
1958,18
1959,24
1960,22
1961,27
1962,39
1963,37
1964,49
1965,56
1966,66
1967,69
1968,78
1969,114
1970,149
1971,114
1972,115
1973,119
1974,122
1975,97
1976,93
1977,125
1978,98
1979,102
1980,122
1981,138
1982,143
1983,171
1984,171
1985,159
1986,192
1987,213
1988,248
1989,260
1990,282
1991,242
1992,213
1993,238
1994,168
1995,169
1996,163
1997,156
1998,141
1999,126
2000,104
2001,108
2002,120
2003,81
2004,83
2005,92
2006,92
2007,92
2008,73
2009,69
2010,53
2011,38
2012,43
