year,Sidra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,7
1951,7
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6
1967,10
1968,15
1969,9
1970,25
1971,10
1972,14
1973,9
1974,12
1975,16
1976,12
1977,0
1978,11
1979,10
1980,13
1981,14
1982,7
1983,17
1984,10
1985,18
1986,19
1987,17
1988,16
1989,15
1990,14
1991,16
1992,16
1993,23
1994,19
1995,25
1996,17
1997,21
1998,29
1999,25
2000,27
2001,27
2002,34
2003,28
2004,25
2005,35
2006,29
2007,18
2008,23
2009,23
2010,22
2011,26
2012,21
