year,Sindy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,6
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,5
1949,0
1950,9
1951,17
1952,16
1953,26
1954,30
1955,23
1956,45
1957,83
1958,54
1959,60
1960,53
1961,48
1962,46
1963,54
1964,41
1965,38
1966,27
1967,29
1968,38
1969,27
1970,24
1971,31
1972,30
1973,17
1974,30
1975,13
1976,12
1977,26
1978,53
1979,88
1980,38
1981,55
1982,42
1983,23
1984,25
1985,22
1986,26
1987,35
1988,39
1989,49
1990,59
1991,48
1992,58
1993,38
1994,57
1995,60
1996,54
1997,49
1998,50
1999,50
2000,56
2001,53
2002,48
2003,50
2004,61
2005,58
2006,61
2007,49
2008,55
2009,44
2010,27
2011,25
2012,28
