year,Shanice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,6
1971,12
1972,9
1973,12
1974,10
1975,16
1976,18
1977,11
1978,23
1979,18
1980,19
1981,18
1982,25
1983,22
1984,30
1985,106
1986,39
1987,140
1988,942
1989,537
1990,289
1991,304
1992,1857
1993,1347
1994,782
1995,481
1996,319
1997,252
1998,214
1999,309
2000,174
2001,137
2002,123
2003,132
2004,120
2005,91
2006,96
2007,75
2008,71
2009,56
2010,45
2011,34
2012,31
