year,Samella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,0
1910,11
1911,6
1912,8
1913,8
1914,8
1915,10
1916,0
1917,8
1918,25
1919,15
1920,13
1921,21
1922,14
1923,14
1924,18
1925,15
1926,7
1927,13
1928,7
1929,11
1930,8
1931,8
1932,7
1933,14
1934,12
1935,0
1936,13
1937,10
1938,11
1939,11
1940,11
1941,13
1942,14
1943,20
1944,15
1945,18
1946,15
1947,11
1948,17
1949,17
1950,17
1951,15
1952,17
1953,14
1954,15
1955,13
1956,14
1957,12
1958,10
1959,0
1960,0
1961,9
1962,8
1963,5
1964,0
1965,6
1966,6
1967,0
1968,0
1969,6
1970,5
1971,7
1972,7
1973,5
1974,5
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,8
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
