year,Sadye
1880,0
1881,0
1882,5
1883,0
1884,9
1885,7
1886,8
1887,17
1888,17
1889,20
1890,14
1891,25
1892,32
1893,30
1894,35
1895,34
1896,32
1897,30
1898,41
1899,31
1900,36
1901,31
1902,26
1903,20
1904,29
1905,27
1906,23
1907,24
1908,19
1909,24
1910,26
1911,25
1912,28
1913,37
1914,37
1915,41
1916,34
1917,31
1918,37
1919,19
1920,14
1921,16
1922,15
1923,10
1924,15
1925,7
1926,5
1927,7
1928,5
1929,6
1930,6
1931,0
1932,5
1933,11
1934,6
1935,0
1936,6
1937,5
1938,0
1939,0
1940,0
1941,5
1942,7
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,7
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,7
1981,8
1982,0
1983,0
1984,0
1985,0
1986,7
1987,6
1988,0
1989,5
1990,13
1991,10
1992,8
1993,15
1994,7
1995,20
1996,14
1997,14
1998,12
1999,15
2000,13
2001,13
2002,15
2003,16
2004,15
2005,17
2006,27
2007,22
2008,15
2009,14
2010,12
2011,7
2012,0
