year,Sandford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,7
1914,0
1915,0
1916,6
1917,5
1918,6
1919,0
1920,10
1921,8
1922,0
1923,7
1924,9
1925,8
1926,8
1927,6
1928,5
1929,7
1930,5
1931,5
1932,0
1933,0
1934,0
1935,5
1936,10
1937,10
1938,6
1939,9
1940,5
1941,11
1942,10
1943,7
1944,10
1945,10
1946,6
1947,19
1948,6
1949,12
1950,15
1951,9
1952,8
1953,11
1954,10
1955,8
1956,7
1957,8
1958,9
1959,9
1960,7
1961,8
1962,10
1963,7
1964,10
1965,7
1966,6
1967,11
1968,5
1969,5
1970,0
1971,0
1972,7
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
