year,Shera
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,7
1939,0
1940,0
1941,0
1942,5
1943,14
1944,5
1945,7
1946,10
1947,16
1948,9
1949,14
1950,8
1951,9
1952,13
1953,15
1954,9
1955,9
1956,11
1957,7
1958,15
1959,14
1960,14
1961,19
1962,24
1963,15
1964,17
1965,14
1966,14
1967,18
1968,37
1969,26
1970,23
1971,35
1972,33
1973,22
1974,32
1975,25
1976,38
1977,38
1978,82
1979,55
1980,63
1981,40
1982,33
1983,32
1984,41
1985,120
1986,135
1987,63
1988,44
1989,31
1990,27
1991,18
1992,11
1993,12
1994,6
1995,5
1996,0
1997,9
1998,0
1999,6
2000,7
2001,0
2002,6
2003,8
2004,6
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
