year,Saralyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,6
1932,0
1933,11
1934,9
1935,6
1936,9
1937,7
1938,13
1939,13
1940,0
1941,10
1942,12
1943,15
1944,9
1945,15
1946,19
1947,14
1948,13
1949,20
1950,14
1951,13
1952,17
1953,25
1954,17
1955,22
1956,17
1957,14
1958,12
1959,14
1960,13
1961,28
1962,21
1963,13
1964,18
1965,13
1966,8
1967,9
1968,12
1969,7
1970,11
1971,19
1972,7
1973,12
1974,11
1975,8
1976,11
1977,15
1978,15
1979,20
1980,21
1981,22
1982,15
1983,16
1984,15
1985,14
1986,19
1987,19
1988,18
1989,17
1990,23
1991,11
1992,15
1993,12
1994,10
1995,20
1996,19
1997,14
1998,15
1999,19
2000,17
2001,13
2002,10
2003,18
2004,14
2005,10
2006,21
2007,20
2008,18
2009,22
2010,13
2011,13
2012,13
