year,Shelda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,11
1936,15
1937,11
1938,18
1939,14
1940,13
1941,27
1942,7
1943,10
1944,9
1945,11
1946,13
1947,14
1948,11
1949,12
1950,10
1951,18
1952,14
1953,8
1954,16
1955,13
1956,9
1957,15
1958,16
1959,16
1960,20
1961,21
1962,13
1963,14
1964,22
1965,20
1966,10
1967,12
1968,8
1969,7
1970,11
1971,12
1972,7
1973,12
1974,12
1975,6
1976,8
1977,0
1978,0
1979,5
1980,6
1981,0
1982,0
1983,7
1984,0
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
