year,Shanise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,9
1969,7
1970,9
1971,8
1972,14
1973,28
1974,14
1975,33
1976,16
1977,21
1978,18
1979,29
1980,22
1981,22
1982,29
1983,28
1984,20
1985,52
1986,26
1987,49
1988,96
1989,84
1990,92
1991,78
1992,139
1993,104
1994,54
1995,27
1996,26
1997,34
1998,40
1999,20
2000,30
2001,19
2002,14
2003,20
2004,16
2005,13
2006,10
2007,14
2008,12
2009,14
2010,18
2011,8
2012,9
