year,Sylvester (F),Sylvester (M)
1880,0.000000,0.000442
1881,0.000000,0.000394
1882,0.000000,0.000334
1883,0.000000,0.000318
1884,0.000000,0.000275
1885,0.000000,0.000340
1886,0.000000,0.000286
1887,0.000000,0.000287
1888,0.000000,0.000277
1889,0.000000,0.000388
1890,0.000020,0.000309
1891,0.000000,0.000223
1892,0.000018,0.000293
1893,0.000000,0.000261
1894,0.000021,0.000298
1895,0.000000,0.000282
1896,0.000000,0.000310
1897,0.000000,0.000320
1898,0.000000,0.000301
1899,0.000000,0.000277
1900,0.000016,0.000291
1901,0.000023,0.000347
1902,0.000016,0.000349
1903,0.000013,0.000299
1904,0.000027,0.000307
1905,0.000000,0.000297
1906,0.000019,0.000292
1907,0.000017,0.000324
1908,0.000018,0.000340
1909,0.000012,0.000295
1910,0.000017,0.000339
1911,0.000009,0.000340
1912,0.000005,0.000352
1913,0.000007,0.000408
1914,0.000006,0.000380
1915,0.000005,0.000385
1916,0.000005,0.000370
1917,0.000012,0.000356
1918,0.000009,0.000353
1919,0.000010,0.000355
1920,0.000005,0.000357
1921,0.000007,0.000323
1922,0.000006,0.000309
1923,0.000009,0.000316
1924,0.000008,0.000297
1925,0.000006,0.000296
1926,0.000012,0.000300
1927,0.000007,0.000263
1928,0.000007,0.000264
1929,0.000007,0.000260
1930,0.000006,0.000269
1931,0.000004,0.000250
1932,0.000005,0.000265
1933,0.000005,0.000248
1934,0.000005,0.000240
1935,0.000005,0.000254
1936,0.000000,0.000232
1937,0.000004,0.000223
1938,0.000003,0.000227
1939,0.000006,0.000214
1940,0.000003,0.000201
1941,0.000004,0.000220
1942,0.000000,0.000182
1943,0.000003,0.000178
1944,0.000000,0.000199
1945,0.000002,0.000192
1946,0.000000,0.000168
1947,0.000000,0.000165
1948,0.000003,0.000174
1949,0.000000,0.000168
1950,0.000003,0.000184
1951,0.000000,0.000174
1952,0.000002,0.000158
1953,0.000002,0.000166
1954,0.000002,0.000159
1955,0.000002,0.000161
1956,0.000001,0.000150
1957,0.000000,0.000144
1958,0.000000,0.000140
1959,0.000002,0.000134
1960,0.000001,0.000121
1961,0.000000,0.000125
1962,0.000001,0.000115
1963,0.000002,0.000115
1964,0.000000,0.000100
1965,0.000000,0.000107
1966,0.000000,0.000094
1967,0.000002,0.000087
1968,0.000001,0.000076
1969,0.000000,0.000069
1970,0.000002,0.000068
1971,0.000002,0.000085
1972,0.000002,0.000071
1973,0.000000,0.000080
1974,0.000000,0.000064
1975,0.000000,0.000072
1976,0.000000,0.000062
1977,0.000000,0.000068
1978,0.000000,0.000070
1979,0.000000,0.000075
1980,0.000000,0.000059
1981,0.000002,0.000062
1982,0.000000,0.000062
1983,0.000000,0.000053
1984,0.000000,0.000060
1985,0.000000,0.000054
1986,0.000000,0.000056
1987,0.000000,0.000055
1988,0.000000,0.000055
1989,0.000000,0.000050
1990,0.000000,0.000051
1991,0.000000,0.000035
1992,0.000000,0.000030
1993,0.000000,0.000038
1994,0.000000,0.000036
1995,0.000000,0.000033
1996,0.000000,0.000025
1997,0.000000,0.000028
1998,0.000000,0.000022
1999,0.000000,0.000025
2000,0.000000,0.000024
2001,0.000000,0.000021
2002,0.000000,0.000021
2003,0.000000,0.000022
2004,0.000000,0.000017
2005,0.000000,0.000017
2006,0.000000,0.000019
2007,0.000000,0.000016
2008,0.000000,0.000017
2009,0.000000,0.000018
2010,0.000000,0.000017
2011,0.000000,0.000016
2012,0.000000,0.000016
