year,Sampson
1880,5
1881,8
1882,8
1883,6
1884,10
1885,8
1886,8
1887,6
1888,9
1889,8
1890,8
1891,5
1892,8
1893,6
1894,7
1895,10
1896,7
1897,11
1898,23
1899,18
1900,20
1901,10
1902,14
1903,10
1904,13
1905,12
1906,7
1907,10
1908,9
1909,13
1910,12
1911,7
1912,23
1913,22
1914,34
1915,23
1916,30
1917,21
1918,36
1919,41
1920,43
1921,39
1922,40
1923,30
1924,30
1925,35
1926,29
1927,39
1928,34
1929,29
1930,37
1931,34
1932,26
1933,27
1934,20
1935,21
1936,28
1937,18
1938,28
1939,27
1940,25
1941,18
1942,23
1943,32
1944,19
1945,19
1946,28
1947,20
1948,27
1949,35
1950,27
1951,23
1952,33
1953,25
1954,38
1955,34
1956,42
1957,29
1958,21
1959,31
1960,33
1961,33
1962,22
1963,28
1964,27
1965,18
1966,17
1967,16
1968,21
1969,28
1970,21
1971,14
1972,17
1973,19
1974,20
1975,20
1976,26
1977,28
1978,34
1979,23
1980,32
1981,33
1982,27
1983,28
1984,24
1985,32
1986,33
1987,29
1988,40
1989,36
1990,35
1991,29
1992,33
1993,33
1994,39
1995,34
1996,34
1997,33
1998,44
1999,51
2000,36
2001,31
2002,35
2003,34
2004,29
2005,35
2006,37
2007,42
2008,40
2009,34
2010,31
2011,35
2012,38
