year,Sherlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,7
1930,0
1931,7
1932,0
1933,5
1934,15
1935,11
1936,21
1937,24
1938,20
1939,21
1940,27
1941,21
1942,23
1943,16
1944,19
1945,15
1946,23
1947,38
1948,26
1949,36
1950,28
1951,37
1952,35
1953,33
1954,26
1955,27
1956,34
1957,31
1958,40
1959,24
1960,32
1961,21
1962,27
1963,23
1964,23
1965,22
1966,19
1967,29
1968,18
1969,21
1970,17
1971,16
1972,7
1973,5
1974,5
1975,7
1976,8
1977,8
1978,5
1979,6
1980,0
1981,5
1982,10
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,8
2005,0
2006,5
2007,0
2008,7
2009,9
2010,0
2011,7
2012,0
