year,Sammy (F),Sammy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000016
1901,0.000000,0.000014
1902,0.000000,0.000018
1903,0.000000,0.000016
1904,0.000000,0.000032
1905,0.000000,0.000012
1906,0.000000,0.000014
1907,0.000000,0.000021
1908,0.000000,0.000027
1909,0.000000,0.000012
1910,0.000000,0.000039
1911,0.000000,0.000031
1912,0.000000,0.000023
1913,0.000005,0.000018
1914,0.000004,0.000036
1915,0.000004,0.000027
1916,0.000004,0.000027
1917,0.000008,0.000036
1918,0.000010,0.000038
1919,0.000008,0.000041
1920,0.000006,0.000050
1921,0.000005,0.000049
1922,0.000004,0.000057
1923,0.000006,0.000064
1924,0.000010,0.000068
1925,0.000006,0.000068
1926,0.000008,0.000088
1927,0.000008,0.000101
1928,0.000012,0.000123
1929,0.000009,0.000137
1930,0.000011,0.000156
1931,0.000013,0.000164
1932,0.000012,0.000168
1933,0.000009,0.000175
1934,0.000009,0.000198
1935,0.000011,0.000208
1936,0.000017,0.000222
1937,0.000008,0.000221
1938,0.000009,0.000225
1939,0.000010,0.000228
1940,0.000008,0.000251
1941,0.000009,0.000268
1942,0.000008,0.000305
1943,0.000012,0.000318
1944,0.000010,0.000362
1945,0.000009,0.000357
1946,0.000008,0.000372
1947,0.000008,0.000336
1948,0.000005,0.000311
1949,0.000007,0.000286
1950,0.000005,0.000254
1951,0.000003,0.000240
1952,0.000005,0.000204
1953,0.000004,0.000199
1954,0.000004,0.000193
1955,0.000005,0.000187
1956,0.000002,0.000179
1957,0.000004,0.000189
1958,0.000002,0.000211
1959,0.000005,0.000206
1960,0.000004,0.000208
1961,0.000004,0.000189
1962,0.000003,0.000186
1963,0.000003,0.000179
1964,0.000003,0.000190
1965,0.000004,0.000171
1966,0.000004,0.000164
1967,0.000004,0.000162
1968,0.000003,0.000152
1969,0.000003,0.000146
1970,0.000002,0.000131
1971,0.000004,0.000147
1972,0.000003,0.000147
1973,0.000003,0.000145
1974,0.000003,0.000130
1975,0.000003,0.000117
1976,0.000002,0.000113
1977,0.000003,0.000104
1978,0.000003,0.000094
1979,0.000002,0.000087
1980,0.000001,0.000100
1981,0.000001,0.000076
1982,0.000004,0.000077
1983,0.000007,0.000073
1984,0.000005,0.000062
1985,0.000003,0.000068
1986,0.000005,0.000073
1987,0.000007,0.000069
1988,0.000004,0.000063
1989,0.000003,0.000075
1990,0.000001,0.000074
1991,0.000003,0.000062
1992,0.000002,0.000070
1993,0.000002,0.000052
1994,0.000003,0.000059
1995,0.000003,0.000049
1996,0.000004,0.000050
1997,0.000002,0.000054
1998,0.000004,0.000067
1999,0.000004,0.000057
2000,0.000003,0.000058
2001,0.000003,0.000063
2002,0.000003,0.000054
2003,0.000003,0.000057
2004,0.000003,0.000057
2005,0.000005,0.000056
2006,0.000002,0.000050
2007,0.000001,0.000046
2008,0.000003,0.000052
2009,0.000004,0.000041
2010,0.000004,0.000042
2011,0.000004,0.000043
2012,0.000004,0.000033
2013,0.000005,0.000033
