year,Senaida
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,0
1907,0
1908,5
1909,0
1910,7
1911,0
1912,0
1913,0
1914,7
1915,7
1916,6
1917,8
1918,10
1919,5
1920,8
1921,0
1922,13
1923,11
1924,15
1925,11
1926,13
1927,5
1928,11
1929,10
1930,0
1931,10
1932,8
1933,11
1934,10
1935,9
1936,15
1937,22
1938,18
1939,19
1940,15
1941,12
1942,19
1943,10
1944,16
1945,7
1946,19
1947,9
1948,18
1949,14
1950,12
1951,11
1952,8
1953,14
1954,13
1955,12
1956,8
1957,6
1958,12
1959,9
1960,14
1961,16
1962,18
1963,16
1964,18
1965,19
1966,16
1967,19
1968,17
1969,13
1970,18
1971,18
1972,8
1973,16
1974,14
1975,13
1976,14
1977,12
1978,20
1979,18
1980,15
1981,18
1982,11
1983,8
1984,18
1985,11
1986,10
1987,8
1988,6
1989,10
1990,17
1991,10
1992,9
1993,15
1994,10
1995,6
1996,10
1997,5
1998,11
1999,15
2000,13
2001,17
2002,9
2003,6
2004,7
2005,10
2006,17
2007,8
2008,9
2009,6
2010,0
2011,5
2012,7
