year,Sharie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,6
1935,0
1936,9
1937,5
1938,12
1939,9
1940,8
1941,22
1942,14
1943,20
1944,16
1945,14
1946,22
1947,22
1948,22
1949,29
1950,19
1951,12
1952,19
1953,21
1954,26
1955,28
1956,34
1957,42
1958,44
1959,56
1960,45
1961,70
1962,80
1963,70
1964,50
1965,37
1966,41
1967,46
1968,44
1969,47
1970,58
1971,44
1972,35
1973,37
1974,21
1975,38
1976,20
1977,25
1978,42
1979,47
1980,38
1981,42
1982,37
1983,47
1984,41
1985,50
1986,29
1987,22
1988,30
1989,34
1990,29
1991,22
1992,17
1993,19
1994,8
1995,10
1996,11
1997,8
1998,7
1999,0
2000,0
2001,8
2002,8
2003,5
2004,0
2005,0
2006,0
2007,9
2008,0
2009,5
2010,0
2011,5
2012,6
