year,Sabina
1880,6
1881,5
1882,5
1883,6
1884,8
1885,10
1886,11
1887,13
1888,11
1889,19
1890,11
1891,18
1892,16
1893,10
1894,18
1895,21
1896,15
1897,14
1898,15
1899,19
1900,20
1901,6
1902,14
1903,12
1904,15
1905,16
1906,13
1907,25
1908,20
1909,20
1910,15
1911,38
1912,47
1913,48
1914,58
1915,79
1916,96
1917,91
1918,105
1919,80
1920,90
1921,75
1922,83
1923,76
1924,74
1925,50
1926,64
1927,40
1928,46
1929,44
1930,45
1931,35
1932,34
1933,22
1934,25
1935,29
1936,22
1937,33
1938,29
1939,30
1940,27
1941,32
1942,37
1943,27
1944,19
1945,28
1946,27
1947,38
1948,25
1949,28
1950,23
1951,23
1952,18
1953,25
1954,37
1955,29
1956,43
1957,54
1958,43
1959,52
1960,47
1961,49
1962,57
1963,74
1964,65
1965,57
1966,53
1967,88
1968,85
1969,72
1970,75
1971,43
1972,61
1973,57
1974,42
1975,58
1976,63
1977,62
1978,61
1979,51
1980,60
1981,60
1982,52
1983,47
1984,43
1985,52
1986,48
1987,78
1988,56
1989,95
1990,71
1991,80
1992,76
1993,82
1994,102
1995,82
1996,90
1997,119
1998,95
1999,88
2000,108
2001,125
2002,127
2003,120
2004,123
2005,140
2006,134
2007,139
2008,136
2009,135
2010,104
2011,113
2012,98
