year,Suellen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,30
1938,31
1939,40
1940,141
1941,159
1942,144
1943,138
1944,113
1945,107
1946,126
1947,124
1948,133
1949,141
1950,124
1951,93
1952,85
1953,103
1954,118
1955,111
1956,108
1957,88
1958,73
1959,66
1960,56
1961,82
1962,72
1963,67
1964,79
1965,71
1966,55
1967,45
1968,49
1969,42
1970,38
1971,19
1972,28
1973,20
1974,14
1975,9
1976,11
1977,7
1978,12
1979,19
1980,20
1981,9
1982,21
1983,14
1984,6
1985,7
1986,8
1987,5
1988,0
1989,0
1990,0
1991,5
1992,5
1993,5
1994,0
1995,0
1996,7
1997,5
1998,0
1999,0
2000,9
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,8
2008,0
2009,0
2010,0
2011,5
2012,0
