year,Sherril
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,6
1926,0
1927,7
1928,0
1929,6
1930,8
1931,6
1932,0
1933,13
1934,20
1935,19
1936,17
1937,34
1938,35
1939,22
1940,25
1941,28
1942,37
1943,53
1944,34
1945,54
1946,50
1947,77
1948,65
1949,68
1950,58
1951,57
1952,47
1953,81
1954,68
1955,70
1956,64
1957,69
1958,69
1959,55
1960,55
1961,57
1962,48
1963,44
1964,49
1965,29
1966,21
1967,36
1968,20
1969,14
1970,17
1971,10
1972,13
1973,9
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,10
1981,0
1982,0
1983,8
1984,0
1985,7
1986,6
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
