year,Shantelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,9
1965,6
1966,9
1967,18
1968,36
1969,27
1970,40
1971,40
1972,53
1973,67
1974,48
1975,56
1976,53
1977,53
1978,51
1979,71
1980,64
1981,74
1982,71
1983,103
1984,81
1985,105
1986,103
1987,124
1988,90
1989,96
1990,87
1991,122
1992,98
1993,100
1994,78
1995,73
1996,76
1997,57
1998,44
1999,51
2000,35
2001,35
2002,26
2003,26
2004,24
2005,20
2006,22
2007,18
2008,16
2009,16
2010,15
2011,14
2012,13
