year,Sonjia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,19
1939,13
1940,26
1941,20
1942,16
1943,27
1944,20
1945,13
1946,16
1947,26
1948,16
1949,25
1950,20
1951,24
1952,19
1953,22
1954,21
1955,18
1956,21
1957,27
1958,25
1959,23
1960,38
1961,34
1962,29
1963,22
1964,26
1965,31
1966,37
1967,54
1968,35
1969,40
1970,30
1971,22
1972,28
1973,26
1974,22
1975,23
1976,16
1977,10
1978,7
1979,12
1980,10
1981,12
1982,7
1983,7
1984,0
1985,0
1986,5
1987,10
1988,11
1989,8
1990,9
1991,6
1992,5
1993,0
1994,0
1995,6
1996,6
1997,7
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
