year,Sonda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,9
1938,6
1939,0
1940,0
1941,9
1942,10
1943,6
1944,7
1945,5
1946,11
1947,16
1948,7
1949,0
1950,13
1951,11
1952,10
1953,7
1954,5
1955,10
1956,28
1957,26
1958,11
1959,18
1960,15
1961,21
1962,21
1963,38
1964,30
1965,36
1966,43
1967,33
1968,19
1969,24
1970,26
1971,17
1972,18
1973,23
1974,43
1975,26
1976,20
1977,5
1978,10
1979,6
1980,0
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,7
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
