year,Shala
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,6
1958,9
1959,0
1960,5
1961,6
1962,12
1963,14
1964,8
1965,13
1966,10
1967,11
1968,12
1969,11
1970,15
1971,35
1972,30
1973,51
1974,49
1975,48
1976,41
1977,70
1978,68
1979,62
1980,69
1981,50
1982,50
1983,67
1984,65
1985,80
1986,60
1987,64
1988,84
1989,81
1990,75
1991,89
1992,65
1993,63
1994,67
1995,52
1996,51
1997,38
1998,42
1999,37
2000,35
2001,33
2002,22
2003,13
2004,21
2005,12
2006,20
2007,15
2008,11
2009,10
2010,5
2011,10
2012,6
