year,Sanders
1880,6
1881,8
1882,10
1883,8
1884,9
1885,8
1886,6
1887,7
1888,7
1889,8
1890,6
1891,6
1892,5
1893,13
1894,6
1895,0
1896,10
1897,6
1898,7
1899,5
1900,10
1901,6
1902,6
1903,5
1904,6
1905,9
1906,8
1907,9
1908,11
1909,11
1910,20
1911,9
1912,20
1913,16
1914,28
1915,24
1916,16
1917,23
1918,29
1919,38
1920,29
1921,32
1922,38
1923,30
1924,27
1925,21
1926,22
1927,26
1928,21
1929,19
1930,26
1931,22
1932,31
1933,19
1934,23
1935,24
1936,18
1937,21
1938,27
1939,16
1940,20
1941,24
1942,31
1943,30
1944,19
1945,29
1946,30
1947,23
1948,27
1949,27
1950,30
1951,47
1952,25
1953,39
1954,29
1955,30
1956,24
1957,18
1958,23
1959,17
1960,23
1961,19
1962,16
1963,16
1964,16
1965,24
1966,10
1967,15
1968,15
1969,17
1970,11
1971,9
1972,14
1973,16
1974,13
1975,12
1976,15
1977,13
1978,14
1979,11
1980,13
1981,8
1982,16
1983,16
1984,6
1985,10
1986,9
1987,10
1988,15
1989,10
1990,13
1991,11
1992,16
1993,14
1994,15
1995,17
1996,10
1997,16
1998,10
1999,8
2000,13
2001,10
2002,7
2003,10
2004,12
2005,11
2006,11
2007,15
2008,20
2009,15
2010,9
2011,14
2012,24
