year,Suzannah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,7
1941,0
1942,8
1943,5
1944,0
1945,0
1946,8
1947,9
1948,6
1949,0
1950,0
1951,9
1952,0
1953,7
1954,9
1955,10
1956,0
1957,5
1958,8
1959,10
1960,5
1961,10
1962,16
1963,18
1964,20
1965,11
1966,11
1967,22
1968,23
1969,32
1970,25
1971,37
1972,28
1973,34
1974,30
1975,41
1976,32
1977,35
1978,31
1979,44
1980,26
1981,29
1982,28
1983,30
1984,27
1985,22
1986,26
1987,38
1988,33
1989,39
1990,44
1991,53
1992,43
1993,34
1994,33
1995,39
1996,44
1997,46
1998,52
1999,21
2000,40
2001,24
2002,26
2003,21
2004,28
2005,29
2006,29
2007,12
2008,16
2009,22
2010,24
2011,19
2012,13
