year,Seana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,9
1957,6
1958,8
1959,6
1960,8
1961,15
1962,22
1963,22
1964,22
1965,32
1966,41
1967,41
1968,57
1969,62
1970,55
1971,41
1972,28
1973,40
1974,49
1975,46
1976,48
1977,39
1978,50
1979,32
1980,33
1981,28
1982,35
1983,35
1984,39
1985,41
1986,43
1987,33
1988,55
1989,40
1990,39
1991,36
1992,46
1993,25
1994,41
1995,38
1996,31
1997,39
1998,42
1999,31
2000,42
2001,40
2002,22
2003,19
2004,20
2005,13
2006,17
2007,18
2008,17
2009,20
2010,8
2011,12
2012,16
