year,Sueann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,7
1934,5
1935,0
1936,9
1937,16
1938,12
1939,12
1940,18
1941,30
1942,30
1943,27
1944,37
1945,29
1946,64
1947,63
1948,50
1949,46
1950,45
1951,36
1952,27
1953,25
1954,37
1955,42
1956,42
1957,38
1958,42
1959,46
1960,46
1961,57
1962,53
1963,45
1964,50
1965,60
1966,38
1967,70
1968,58
1969,53
1970,59
1971,50
1972,42
1973,35
1974,33
1975,29
1976,31
1977,40
1978,30
1979,33
1980,40
1981,34
1982,36
1983,21
1984,18
1985,22
1986,13
1987,21
1988,20
1989,14
1990,6
1991,13
1992,8
1993,5
1994,9
1995,8
1996,16
1997,0
1998,11
1999,9
2000,7
2001,6
2002,11
2003,0
2004,0
2005,5
2006,7
2007,5
2008,6
2009,5
2010,0
2011,0
2012,0
