year,Socrates
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,7
1916,5
1917,9
1918,7
1919,8
1920,6
1921,10
1922,17
1923,12
1924,10
1925,11
1926,11
1927,10
1928,9
1929,14
1930,14
1931,15
1932,5
1933,6
1934,5
1935,12
1936,6
1937,0
1938,0
1939,0
1940,6
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,7
1958,0
1959,0
1960,0
1961,0
1962,6
1963,8
1964,6
1965,9
1966,0
1967,0
1968,9
1969,6
1970,7
1971,8
1972,11
1973,0
1974,6
1975,9
1976,6
1977,7
1978,8
1979,7
1980,6
1981,8
1982,14
1983,11
1984,6
1985,11
1986,8
1987,10
1988,11
1989,9
1990,13
1991,10
1992,12
1993,9
1994,11
1995,11
1996,8
1997,10
1998,14
1999,15
2000,12
2001,12
2002,9
2003,0
2004,12
2005,9
2006,7
2007,8
2008,11
2009,11
2010,6
2011,7
2012,8
