year,Selwyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,6
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,5
1914,5
1915,13
1916,10
1917,15
1918,20
1919,11
1920,11
1921,6
1922,22
1923,14
1924,26
1925,21
1926,20
1927,24
1928,32
1929,24
1930,22
1931,28
1932,20
1933,8
1934,16
1935,9
1936,12
1937,7
1938,7
1939,5
1940,0
1941,12
1942,7
1943,0
1944,8
1945,6
1946,8
1947,5
1948,13
1949,12
1950,9
1951,16
1952,6
1953,10
1954,13
1955,14
1956,10
1957,15
1958,19
1959,29
1960,23
1961,43
1962,37
1963,29
1964,25
1965,29
1966,22
1967,16
1968,19
1969,20
1970,24
1971,16
1972,16
1973,13
1974,13
1975,10
1976,11
1977,12
1978,6
1979,8
1980,10
1981,13
1982,12
1983,8
1984,14
1985,10
1986,15
1987,9
1988,16
1989,18
1990,14
1991,13
1992,26
1993,10
1994,9
1995,12
1996,11
1997,13
1998,16
1999,6
2000,0
2001,5
2002,5
2003,9
2004,7
2005,6
2006,0
2007,10
2008,8
2009,8
2010,7
2011,6
2012,6
