year,Sunday
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,7
1917,0
1918,7
1919,0
1920,7
1921,0
1922,0
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,6
1939,7
1940,9
1941,6
1942,8
1943,10
1944,12
1945,7
1946,15
1947,28
1948,23
1949,22
1950,19
1951,20
1952,22
1953,26
1954,31
1955,28
1956,25
1957,24
1958,22
1959,27
1960,48
1961,44
1962,31
1963,28
1964,38
1965,45
1966,109
1967,64
1968,52
1969,52
1970,42
1971,59
1972,44
1973,45
1974,57
1975,44
1976,52
1977,35
1978,51
1979,37
1980,21
1981,19
1982,28
1983,12
1984,14
1985,14
1986,8
1987,10
1988,11
1989,10
1990,17
1991,20
1992,17
1993,16
1994,13
1995,17
1996,21
1997,11
1998,14
1999,9
2000,5
2001,15
2002,12
2003,8
2004,6
2005,11
2006,15
2007,8
2008,22
2009,29
2010,40
2011,48
2012,39
