year,Sim
1880,16
1881,20
1882,33
1883,23
1884,23
1885,22
1886,22
1887,10
1888,17
1889,14
1890,20
1891,9
1892,16
1893,13
1894,14
1895,11
1896,18
1897,15
1898,13
1899,11
1900,25
1901,8
1902,11
1903,13
1904,18
1905,15
1906,7
1907,19
1908,12
1909,15
1910,10
1911,14
1912,19
1913,19
1914,30
1915,32
1916,37
1917,28
1918,40
1919,40
1920,38
1921,36
1922,29
1923,30
1924,28
1925,27
1926,30
1927,37
1928,35
1929,22
1930,25
1931,33
1932,25
1933,27
1934,25
1935,18
1936,20
1937,18
1938,17
1939,18
1940,20
1941,20
1942,21
1943,17
1944,23
1945,16
1946,23
1947,26
1948,23
1949,21
1950,17
1951,17
1952,17
1953,23
1954,19
1955,17
1956,9
1957,18
1958,16
1959,15
1960,13
1961,9
1962,11
1963,15
1964,13
1965,10
1966,6
1967,5
1968,17
1969,6
1970,8
1971,8
1972,9
1973,10
1974,9
1975,0
1976,9
1977,0
1978,5
1979,5
1980,5
1981,8
1982,11
1983,8
1984,0
1985,5
1986,6
1987,8
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,5
2003,5
2004,5
2005,0
2006,5
2007,6
2008,0
2009,0
2010,5
2011,0
2012,0
