year,Soila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,0
1915,0
1916,7
1917,0
1918,6
1919,11
1920,5
1921,9
1922,12
1923,0
1924,8
1925,6
1926,9
1927,18
1928,6
1929,17
1930,6
1931,7
1932,8
1933,15
1934,11
1935,27
1936,9
1937,12
1938,11
1939,13
1940,13
1941,7
1942,12
1943,10
1944,13
1945,12
1946,11
1947,12
1948,12
1949,14
1950,11
1951,10
1952,8
1953,13
1954,13
1955,18
1956,13
1957,9
1958,9
1959,10
1960,11
1961,6
1962,6
1963,9
1964,7
1965,5
1966,0
1967,8
1968,7
1969,5
1970,5
1971,10
1972,6
1973,8
1974,9
1975,0
1976,17
1977,9
1978,9
1979,12
1980,13
1981,17
1982,7
1983,7
1984,16
1985,5
1986,9
1987,9
1988,12
1989,7
1990,11
1991,11
1992,11
1993,10
1994,0
1995,11
1996,7
1997,0
1998,0
1999,6
2000,8
2001,0
2002,0
2003,0
2004,8
2005,6
2006,7
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
