year,Shela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,5
1937,7
1938,5
1939,6
1940,10
1941,7
1942,14
1943,20
1944,15
1945,13
1946,26
1947,24
1948,26
1949,29
1950,44
1951,37
1952,33
1953,37
1954,30
1955,27
1956,29
1957,29
1958,34
1959,28
1960,29
1961,31
1962,32
1963,40
1964,36
1965,39
1966,36
1967,28
1968,29
1969,37
1970,30
1971,16
1972,23
1973,23
1974,11
1975,21
1976,15
1977,18
1978,13
1979,13
1980,0
1981,13
1982,5
1983,13
1984,14
1985,18
1986,16
1987,31
1988,34
1989,22
1990,17
1991,22
1992,17
1993,13
1994,17
1995,11
1996,15
1997,8
1998,11
1999,5
2000,8
2001,9
2002,9
2003,0
2004,0
2005,5
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
