year,Sharlet
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,5
1927,5
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,5
1940,6
1941,14
1942,7
1943,15
1944,17
1945,17
1946,17
1947,24
1948,10
1949,12
1950,23
1951,24
1952,20
1953,13
1954,16
1955,16
1956,22
1957,20
1958,15
1959,11
1960,11
1961,12
1962,15
1963,11
1964,13
1965,19
1966,7
1967,8
1968,13
1969,12
1970,16
1971,11
1972,16
1973,10
1974,8
1975,8
1976,7
1977,6
1978,6
1979,11
1980,0
1981,0
1982,0
1983,5
1984,5
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,6
2009,0
2010,6
2011,5
2012,0
