year,Sydelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,5
1908,6
1909,5
1910,6
1911,8
1912,9
1913,13
1914,16
1915,19
1916,13
1917,18
1918,10
1919,5
1920,9
1921,6
1922,9
1923,13
1924,22
1925,24
1926,26
1927,22
1928,39
1929,29
1930,46
1931,29
1932,32
1933,29
1934,25
1935,12
1936,12
1937,14
1938,14
1939,10
1940,16
1941,12
1942,12
1943,8
1944,14
1945,7
1946,0
1947,5
1948,6
1949,5
1950,5
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,7
2005,0
2006,7
2007,5
2008,5
2009,0
2010,5
2011,7
2012,9
