year,Shanita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,6
1960,0
1961,7
1962,0
1963,10
1964,0
1965,6
1966,17
1967,13
1968,15
1969,28
1970,38
1971,46
1972,62
1973,86
1974,92
1975,109
1976,126
1977,105
1978,184
1979,148
1980,174
1981,166
1982,170
1983,180
1984,144
1985,172
1986,153
1987,164
1988,142
1989,170
1990,145
1991,127
1992,99
1993,76
1994,45
1995,45
1996,34
1997,21
1998,21
1999,11
2000,18
2001,13
2002,7
2003,8
2004,10
2005,10
2006,7
2007,7
2008,10
2009,0
2010,0
2011,0
2012,0
