year,Sharry
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,8
1938,5
1939,7
1940,10
1941,25
1942,27
1943,19
1944,23
1945,18
1946,31
1947,30
1948,33
1949,39
1950,27
1951,21
1952,25
1953,21
1954,30
1955,23
1956,37
1957,29
1958,29
1959,22
1960,28
1961,21
1962,21
1963,32
1964,27
1965,19
1966,18
1967,26
1968,26
1969,15
1970,22
1971,18
1972,17
1973,14
1974,10
1975,17
1976,11
1977,5
1978,10
1979,5
1980,6
1981,9
1982,0
1983,0
1984,8
1985,0
1986,9
1987,9
1988,5
1989,0
1990,0
1991,0
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
