year,Stephaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,8
1952,8
1953,0
1954,7
1955,18
1956,22
1957,25
1958,25
1959,38
1960,41
1961,51
1962,46
1963,46
1964,59
1965,69
1966,64
1967,88
1968,88
1969,107
1970,110
1971,115
1972,131
1973,130
1974,104
1975,90
1976,119
1977,120
1978,107
1979,132
1980,125
1981,141
1982,136
1983,195
1984,154
1985,150
1986,148
1987,149
1988,137
1989,119
1990,115
1991,96
1992,74
1993,71
1994,55
1995,39
1996,40
1997,33
1998,33
1999,26
2000,15
2001,31
2002,15
2003,16
2004,13
2005,11
2006,6
2007,9
2008,9
2009,8
2010,13
2011,0
2012,0
