year,Simon (F),Simon (M)
1880,0.000000,0.000437
1881,0.000000,0.000389
1882,0.000000,0.000352
1883,0.000000,0.000415
1884,0.000000,0.000349
1885,0.000000,0.000345
1886,0.000000,0.000380
1887,0.000000,0.000271
1888,0.000000,0.000364
1889,0.000000,0.000239
1890,0.000000,0.000242
1891,0.000000,0.000220
1892,0.000000,0.000239
1893,0.000000,0.000218
1894,0.000000,0.000257
1895,0.000000,0.000162
1896,0.000000,0.000238
1897,0.000000,0.000228
1898,0.000000,0.000178
1899,0.000000,0.000200
1900,0.000000,0.000164
1901,0.000000,0.000208
1902,0.000000,0.000150
1903,0.000000,0.000202
1904,0.000000,0.000188
1905,0.000000,0.000189
1906,0.000000,0.000194
1907,0.000000,0.000170
1908,0.000000,0.000174
1909,0.000000,0.000184
1910,0.000000,0.000223
1911,0.000000,0.000213
1912,0.000000,0.000229
1913,0.000005,0.000209
1914,0.000000,0.000193
1915,0.000000,0.000178
1916,0.000000,0.000182
1917,0.000000,0.000178
1918,0.000000,0.000172
1919,0.000000,0.000172
1920,0.000000,0.000151
1921,0.000002,0.000169
1922,0.000000,0.000164
1923,0.000000,0.000142
1924,0.000000,0.000139
1925,0.000000,0.000144
1926,0.000000,0.000125
1927,0.000000,0.000122
1928,0.000000,0.000118
1929,0.000000,0.000122
1930,0.000000,0.000127
1931,0.000000,0.000110
1932,0.000000,0.000102
1933,0.000003,0.000098
1934,0.000000,0.000095
1935,0.000000,0.000096
1936,0.000000,0.000085
1937,0.000000,0.000092
1938,0.000000,0.000101
1939,0.000000,0.000093
1940,0.000000,0.000084
1941,0.000000,0.000079
1942,0.000000,0.000077
1943,0.000000,0.000088
1944,0.000000,0.000069
1945,0.000000,0.000067
1946,0.000000,0.000066
1947,0.000001,0.000064
1948,0.000000,0.000064
1949,0.000000,0.000057
1950,0.000000,0.000065
1951,0.000000,0.000053
1952,0.000000,0.000061
1953,0.000000,0.000053
1954,0.000000,0.000057
1955,0.000000,0.000056
1956,0.000000,0.000051
1957,0.000000,0.000050
1958,0.000000,0.000048
1959,0.000000,0.000049
1960,0.000000,0.000053
1961,0.000000,0.000055
1962,0.000000,0.000051
1963,0.000000,0.000054
1964,0.000000,0.000057
1965,0.000001,0.000052
1966,0.000000,0.000057
1967,0.000000,0.000066
1968,0.000000,0.000074
1969,0.000000,0.000070
1970,0.000000,0.000078
1971,0.000002,0.000098
1972,0.000000,0.000109
1973,0.000002,0.000115
1974,0.000000,0.000110
1975,0.000000,0.000113
1976,0.000000,0.000132
1977,0.000000,0.000116
1978,0.000000,0.000110
1979,0.000000,0.000145
1980,0.000002,0.000133
1981,0.000000,0.000134
1982,0.000002,0.000124
1983,0.000000,0.000134
1984,0.000000,0.000187
1985,0.000000,0.000158
1986,0.000000,0.000170
1987,0.000002,0.000160
1988,0.000003,0.000159
1989,0.000001,0.000150
1990,0.000000,0.000157
1991,0.000002,0.000159
1992,0.000002,0.000179
1993,0.000002,0.000177
1994,0.000003,0.000182
1995,0.000001,0.000176
1996,0.000000,0.000200
1997,0.000000,0.000215
1998,0.000002,0.000258
1999,0.000000,0.000305
2000,0.000000,0.000331
2001,0.000001,0.000340
2002,0.000000,0.000374
2003,0.000000,0.000374
2004,0.000000,0.000342
2005,0.000000,0.000341
2006,0.000001,0.000358
2007,0.000000,0.000338
2008,0.000002,0.000343
2009,0.000000,0.000349
2010,0.000000,0.000370
2011,0.000000,0.000373
2012,0.000003,0.000397
2013,0.000000,0.000442
2014,0.000000,0.000437
2015,0.000002,0.000445
2016,0.000000,0.000424
2017,0.000000,0.000387
2018,0.000000,0.000412
2019,0.000002,0.000409
2020,0.000000,0.000421
