year,Sigurd
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,6
1891,8
1892,5
1893,5
1894,0
1895,8
1896,9
1897,7
1898,0
1899,5
1900,0
1901,7
1902,0
1903,6
1904,0
1905,5
1906,0
1907,0
1908,0
1909,7
1910,0
1911,7
1912,13
1913,19
1914,20
1915,24
1916,31
1917,22
1918,18
1919,13
1920,20
1921,15
1922,23
1923,17
1924,10
1925,13
1926,18
1927,14
1928,18
1929,14
1930,15
1931,9
1932,8
1933,11
1934,7
1935,12
1936,10
1937,9
1938,11
1939,11
1940,10
1941,11
1942,14
1943,11
1944,8
1945,9
1946,5
1947,6
1948,8
1949,8
1950,8
1951,7
1952,8
1953,12
1954,6
1955,5
1956,5
1957,10
1958,7
1959,5
1960,5
1961,11
1962,5
1963,0
1964,0
1965,6
1966,8
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,6
2010,0
2011,0
2012,0
