year,Shila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,7
1949,7
1950,7
1951,7
1952,0
1953,0
1954,0
1955,0
1956,6
1957,0
1958,0
1959,5
1960,6
1961,11
1962,10
1963,7
1964,9
1965,8
1966,9
1967,6
1968,0
1969,10
1970,15
1971,21
1972,9
1973,20
1974,25
1975,26
1976,24
1977,21
1978,25
1979,19
1980,28
1981,28
1982,28
1983,20
1984,28
1985,21
1986,24
1987,19
1988,26
1989,17
1990,18
1991,20
1992,21
1993,16
1994,19
1995,23
1996,11
1997,23
1998,25
1999,28
2000,20
2001,15
2002,12
2003,13
2004,18
2005,17
2006,25
2007,25
2008,27
2009,19
2010,27
2011,15
2012,15
