year,Sanjuanita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,5
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,6
1944,12
1945,14
1946,32
1947,37
1948,69
1949,116
1950,130
1951,124
1952,135
1953,119
1954,93
1955,92
1956,102
1957,75
1958,47
1959,67
1960,60
1961,63
1962,68
1963,65
1964,64
1965,57
1966,55
1967,60
1968,65
1969,77
1970,83
1971,81
1972,86
1973,65
1974,89
1975,70
1976,87
1977,56
1978,52
1979,57
1980,49
1981,49
1982,31
1983,45
1984,45
1985,42
1986,30
1987,27
1988,31
1989,25
1990,47
1991,34
1992,22
1993,27
1994,31
1995,31
1996,33
1997,26
1998,29
1999,22
2000,28
2001,20
2002,18
2003,18
2004,15
2005,17
2006,11
2007,13
2008,5
2009,6
2010,0
2011,0
2012,0
