year,Stacee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,6
1955,0
1956,7
1957,12
1958,9
1959,15
1960,16
1961,25
1962,12
1963,26
1964,27
1965,23
1966,22
1967,51
1968,43
1969,57
1970,55
1971,57
1972,64
1973,75
1974,59
1975,52
1976,59
1977,54
1978,32
1979,54
1980,59
1981,46
1982,37
1983,52
1984,43
1985,51
1986,49
1987,39
1988,56
1989,34
1990,44
1991,33
1992,20
1993,25
1994,19
1995,18
1996,11
1997,12
1998,9
1999,8
2000,8
2001,7
2002,7
2003,0
2004,6
2005,10
2006,7
2007,0
2008,6
2009,0
2010,0
2011,0
2012,0
