year,Shandi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,6
1970,0
1971,11
1972,10
1973,15
1974,15
1975,22
1976,22
1977,20
1978,21
1979,39
1980,60
1981,104
1982,77
1983,100
1984,73
1985,105
1986,110
1987,109
1988,99
1989,79
1990,81
1991,67
1992,57
1993,43
1994,41
1995,37
1996,29
1997,23
1998,23
1999,25
2000,17
2001,22
2002,13
2003,14
2004,29
2005,24
2006,22
2007,22
2008,19
2009,10
2010,0
2011,5
2012,8
