year,Sarai
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,0
1955,0
1956,0
1957,0
1958,8
1959,6
1960,7
1961,0
1962,5
1963,9
1964,16
1965,12
1966,14
1967,15
1968,21
1969,16
1970,22
1971,15
1972,25
1973,19
1974,32
1975,30
1976,43
1977,56
1978,46
1979,74
1980,84
1981,79
1982,89
1983,84
1984,109
1985,134
1986,128
1987,164
1988,145
1989,181
1990,220
1991,253
1992,253
1993,286
1994,285
1995,346
1996,393
1997,377
1998,391
1999,446
2000,465
2001,480
2002,528
2003,642
2004,622
2005,655
2006,720
2007,818
2008,797
2009,786
2010,741
2011,701
2012,755
