year,Sandro
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,7
1959,5
1960,5
1961,5
1962,8
1963,7
1964,6
1965,6
1966,10
1967,21
1968,9
1969,20
1970,30
1971,35
1972,37
1973,39
1974,51
1975,58
1976,54
1977,48
1978,45
1979,35
1980,28
1981,20
1982,27
1983,22
1984,15
1985,17
1986,19
1987,20
1988,21
1989,14
1990,15
1991,21
1992,17
1993,25
1994,26
1995,29
1996,25
1997,25
1998,34
1999,24
2000,38
2001,54
2002,44
2003,22
2004,45
2005,32
2006,41
2007,41
2008,41
2009,39
2010,30
2011,30
2012,20
