year,Shirlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,11
1944,10
1945,12
1946,7
1947,15
1948,17
1949,12
1950,8
1951,19
1952,15
1953,8
1954,17
1955,18
1956,10
1957,16
1958,12
1959,13
1960,15
1961,11
1962,13
1963,16
1964,11
1965,8
1966,7
1967,9
1968,8
1969,6
1970,6
1971,8
1972,0
1973,6
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,5
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,7
2008,0
2009,7
2010,0
2011,0
2012,0
