year,Stanford (F),Stanford (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000030
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000018
1900,0.000000,0.000024
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000026
1904,0.000000,0.000020
1905,0.000000,0.000014
1906,0.000000,0.000030
1907,0.000000,0.000034
1908,0.000000,0.000031
1909,0.000000,0.000039
1910,0.000000,0.000034
1911,0.000000,0.000033
1912,0.000000,0.000044
1913,0.000000,0.000051
1914,0.000000,0.000048
1915,0.000000,0.000047
1916,0.000000,0.000039
1917,0.000000,0.000053
1918,0.000000,0.000042
1919,0.000000,0.000043
1920,0.000000,0.000043
1921,0.000000,0.000040
1922,0.000000,0.000052
1923,0.000000,0.000040
1924,0.000000,0.000039
1925,0.000000,0.000040
1926,0.000000,0.000044
1927,0.000000,0.000056
1928,0.000000,0.000052
1929,0.000000,0.000054
1930,0.000000,0.000046
1931,0.000000,0.000062
1932,0.000000,0.000041
1933,0.000000,0.000046
1934,0.000000,0.000050
1935,0.000000,0.000041
1936,0.000000,0.000044
1937,0.000000,0.000040
1938,0.000000,0.000047
1939,0.000000,0.000037
1940,0.000000,0.000034
1941,0.000000,0.000038
1942,0.000000,0.000035
1943,0.000000,0.000026
1944,0.000000,0.000035
1945,0.000000,0.000032
1946,0.000000,0.000030
1947,0.000000,0.000031
1948,0.000000,0.000037
1949,0.000000,0.000036
1950,0.000000,0.000034
1951,0.000000,0.000033
1952,0.000000,0.000033
1953,0.000000,0.000030
1954,0.000000,0.000034
1955,0.000000,0.000026
1956,0.000000,0.000030
1957,0.000000,0.000031
1958,0.000000,0.000027
1959,0.000000,0.000025
1960,0.000000,0.000025
1961,0.000000,0.000025
1962,0.000000,0.000028
1963,0.000000,0.000023
1964,0.000000,0.000020
1965,0.000000,0.000027
1966,0.000000,0.000026
1967,0.000000,0.000024
1968,0.000000,0.000029
1969,0.000000,0.000021
1970,0.000000,0.000019
1971,0.000000,0.000028
1972,0.000000,0.000024
1973,0.000000,0.000024
1974,0.000000,0.000018
1975,0.000000,0.000018
1976,0.000000,0.000011
1977,0.000000,0.000013
1978,0.000000,0.000012
1979,0.000000,0.000016
1980,0.000000,0.000010
1981,0.000000,0.000014
1982,0.000000,0.000014
1983,0.000000,0.000013
1984,0.000000,0.000011
1985,0.000000,0.000013
1986,0.000000,0.000013
1987,0.000000,0.000014
1988,0.000000,0.000014
1989,0.000000,0.000011
1990,0.000000,0.000009
1991,0.000000,0.000015
1992,0.000000,0.000010
1993,0.000000,0.000010
1994,0.000000,0.000008
1995,0.000000,0.000010
1996,0.000000,0.000008
1997,0.000000,0.000008
1998,0.000000,0.000007
1999,0.000000,0.000005
2000,0.000000,0.000005
2001,0.000000,0.000006
2002,0.000000,0.000006
2003,0.000000,0.000006
2004,0.000000,0.000005
2005,0.000000,0.000006
2006,0.000000,0.000005
2007,0.000000,0.000004
2008,0.000000,0.000004
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000002
2012,0.000000,0.000006
