year,Starla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,8
1943,12
1944,8
1945,13
1946,15
1947,27
1948,33
1949,31
1950,50
1951,56
1952,68
1953,81
1954,122
1955,106
1956,122
1957,135
1958,134
1959,168
1960,189
1961,193
1962,204
1963,198
1964,191
1965,193
1966,196
1967,156
1968,143
1969,150
1970,172
1971,123
1972,128
1973,136
1974,113
1975,114
1976,110
1977,162
1978,176
1979,171
1980,243
1981,218
1982,164
1983,134
1984,149
1985,127
1986,111
1987,103
1988,126
1989,120
1990,78
1991,76
1992,72
1993,74
1994,56
1995,67
1996,68
1997,80
1998,81
1999,89
2000,87
2001,75
2002,90
2003,62
2004,82
2005,67
2006,71
2007,63
2008,78
2009,62
2010,74
2011,84
2012,74
