year,Stanly
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,11
1913,7
1914,12
1915,12
1916,25
1917,15
1918,20
1919,18
1920,9
1921,9
1922,22
1923,15
1924,12
1925,9
1926,12
1927,10
1928,15
1929,23
1930,14
1931,14
1932,10
1933,11
1934,5
1935,13
1936,11
1937,15
1938,10
1939,6
1940,8
1941,10
1942,12
1943,12
1944,11
1945,11
1946,13
1947,14
1948,14
1949,12
1950,14
1951,18
1952,15
1953,22
1954,19
1955,16
1956,22
1957,15
1958,15
1959,22
1960,16
1961,12
1962,15
1963,12
1964,13
1965,10
1966,10
1967,5
1968,11
1969,9
1970,6
1971,0
1972,10
1973,10
1974,5
1975,0
1976,5
1977,0
1978,6
1979,5
1980,6
1981,0
1982,0
1983,0
1984,10
1985,0
1986,0
1987,5
1988,0
1989,0
1990,7
1991,7
1992,5
1993,7
1994,13
1995,6
1996,9
1997,0
1998,0
1999,0
2000,5
2001,5
2002,0
2003,0
2004,5
2005,5
2006,7
2007,7
2008,7
2009,0
2010,6
2011,0
2012,10
