year,Sy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,7
1918,5
1919,0
1920,0
1921,0
1922,0
1923,6
1924,0
1925,5
1926,6
1927,0
1928,0
1929,0
1930,0
1931,0
1932,6
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,7
1952,0
1953,0
1954,0
1955,6
1956,0
1957,6
1958,6
1959,7
1960,0
1961,8
1962,8
1963,0
1964,6
1965,5
1966,0
1967,0
1968,0
1969,0
1970,5
1971,8
1972,9
1973,12
1974,15
1975,10
1976,10
1977,11
1978,14
1979,9
1980,18
1981,18
1982,22
1983,9
1984,12
1985,18
1986,18
1987,13
1988,8
1989,11
1990,7
1991,18
1992,13
1993,15
1994,14
1995,14
1996,8
1997,16
1998,20
1999,24
2000,21
2001,20
2002,23
2003,33
2004,23
2005,32
2006,26
2007,22
2008,29
2009,20
2010,18
2011,20
2012,21
