year,Sherise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,8
1958,5
1959,13
1960,7
1961,18
1962,12
1963,10
1964,12
1965,24
1966,16
1967,19
1968,26
1969,43
1970,29
1971,28
1972,38
1973,41
1974,23
1975,28
1976,22
1977,26
1978,28
1979,26
1980,21
1981,27
1982,33
1983,30
1984,33
1985,24
1986,34
1987,31
1988,25
1989,25
1990,32
1991,27
1992,19
1993,24
1994,15
1995,15
1996,9
1997,0
1998,6
1999,5
2000,6
2001,0
2002,8
2003,6
2004,8
2005,5
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
