year,Shedrick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,9
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,5
1898,0
1899,0
1900,9
1901,0
1902,6
1903,0
1904,5
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,9
1913,8
1914,5
1915,12
1916,10
1917,14
1918,14
1919,17
1920,15
1921,10
1922,17
1923,18
1924,11
1925,11
1926,14
1927,12
1928,9
1929,8
1930,13
1931,7
1932,7
1933,8
1934,17
1935,10
1936,10
1937,9
1938,11
1939,9
1940,8
1941,9
1942,17
1943,8
1944,10
1945,18
1946,20
1947,20
1948,20
1949,15
1950,21
1951,22
1952,30
1953,30
1954,25
1955,17
1956,25
1957,26
1958,29
1959,27
1960,41
1961,31
1962,34
1963,27
1964,22
1965,33
1966,29
1967,47
1968,41
1969,43
1970,54
1971,60
1972,52
1973,84
1974,66
1975,72
1976,80
1977,58
1978,60
1979,57
1980,65
1981,49
1982,51
1983,39
1984,38
1985,35
1986,22
1987,17
1988,23
1989,29
1990,27
1991,41
1992,27
1993,26
1994,23
1995,32
1996,35
1997,24
1998,23
1999,25
2000,25
2001,24
2002,18
2003,20
2004,12
2005,12
2006,13
2007,11
2008,19
2009,11
2010,7
2011,10
2012,7
