year,Steffan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,7
1951,0
1952,6
1953,0
1954,6
1955,0
1956,8
1957,0
1958,0
1959,5
1960,8
1961,19
1962,11
1963,13
1964,6
1965,12
1966,9
1967,11
1968,9
1969,23
1970,19
1971,11
1972,12
1973,19
1974,11
1975,12
1976,18
1977,11
1978,16
1979,10
1980,20
1981,19
1982,18
1983,22
1984,15
1985,40
1986,56
1987,62
1988,62
1989,66
1990,57
1991,55
1992,66
1993,44
1994,73
1995,37
1996,49
1997,28
1998,32
1999,14
2000,17
2001,18
2002,20
2003,10
2004,14
2005,12
2006,16
2007,13
2008,8
2009,7
2010,8
2011,11
2012,14
