year,Sherice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,10
1959,5
1960,7
1961,11
1962,11
1963,8
1964,12
1965,15
1966,29
1967,41
1968,37
1969,48
1970,57
1971,43
1972,55
1973,58
1974,57
1975,31
1976,42
1977,49
1978,41
1979,51
1980,59
1981,43
1982,49
1983,45
1984,42
1985,44
1986,46
1987,48
1988,38
1989,38
1990,48
1991,27
1992,43
1993,39
1994,36
1995,20
1996,12
1997,26
1998,11
1999,12
2000,11
2001,8
2002,7
2003,5
2004,8
2005,10
2006,0
2007,0
2008,6
2009,0
2010,6
2011,0
2012,0
