year,Santiago (F),Santiago (M)
1880,0.000000,0.000060
1881,0.000000,0.000052
1882,0.000000,0.000000
1883,0.000000,0.000032
1884,0.000000,0.000033
1885,0.000000,0.000050
1886,0.000000,0.000020
1887,0.000000,0.000061
1888,0.000000,0.000027
1889,0.000000,0.000000
1890,0.000000,0.000030
1891,0.000000,0.000024
1892,0.000000,0.000024
1893,0.000000,0.000025
1894,0.000000,0.000018
1895,0.000000,0.000037
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000029
1899,0.000000,0.000000
1900,0.000000,0.000027
1901,0.000000,0.000035
1902,0.000000,0.000023
1903,0.000000,0.000031
1904,0.000000,0.000042
1905,0.000000,0.000014
1906,0.000000,0.000023
1907,0.000000,0.000019
1908,0.000000,0.000029
1909,0.000000,0.000043
1910,0.000000,0.000047
1911,0.000000,0.000025
1912,0.000000,0.000032
1913,0.000000,0.000038
1914,0.000000,0.000037
1915,0.000000,0.000033
1916,0.000000,0.000027
1917,0.000000,0.000024
1918,0.000000,0.000027
1919,0.000000,0.000039
1920,0.000000,0.000035
1921,0.000000,0.000040
1922,0.000000,0.000040
1923,0.000000,0.000046
1924,0.000000,0.000051
1925,0.000002,0.000045
1926,0.000000,0.000037
1927,0.000000,0.000049
1928,0.000000,0.000062
1929,0.000002,0.000052
1930,0.000002,0.000053
1931,0.000000,0.000048
1932,0.000000,0.000043
1933,0.000000,0.000045
1934,0.000000,0.000045
1935,0.000000,0.000041
1936,0.000000,0.000044
1937,0.000000,0.000039
1938,0.000000,0.000043
1939,0.000000,0.000038
1940,0.000000,0.000030
1941,0.000000,0.000037
1942,0.000000,0.000040
1943,0.000000,0.000035
1944,0.000000,0.000041
1945,0.000000,0.000050
1946,0.000000,0.000041
1947,0.000000,0.000030
1948,0.000000,0.000037
1949,0.000000,0.000038
1950,0.000000,0.000037
1951,0.000000,0.000040
1952,0.000000,0.000035
1953,0.000000,0.000031
1954,0.000000,0.000031
1955,0.000000,0.000028
1956,0.000000,0.000037
1957,0.000000,0.000030
1958,0.000000,0.000036
1959,0.000000,0.000031
1960,0.000000,0.000038
1961,0.000000,0.000036
1962,0.000000,0.000030
1963,0.000000,0.000037
1964,0.000000,0.000038
1965,0.000000,0.000041
1966,0.000000,0.000039
1967,0.000000,0.000043
1968,0.000000,0.000045
1969,0.000000,0.000046
1970,0.000000,0.000053
1971,0.000000,0.000056
1972,0.000000,0.000057
1973,0.000000,0.000062
1974,0.000002,0.000067
1975,0.000000,0.000068
1976,0.000002,0.000075
1977,0.000000,0.000074
1978,0.000000,0.000068
1979,0.000000,0.000072
1980,0.000000,0.000073
1981,0.000000,0.000081
1982,0.000000,0.000077
1983,0.000001,0.000068
1984,0.000000,0.000077
1985,0.000000,0.000075
1986,0.000000,0.000063
1987,0.000000,0.000071
1988,0.000001,0.000066
1989,0.000002,0.000084
1990,0.000000,0.000082
1991,0.000000,0.000093
1992,0.000000,0.000101
1993,0.000000,0.000100
1994,0.000000,0.000105
1995,0.000000,0.000116
1996,0.000000,0.000112
1997,0.000000,0.000137
1998,0.000000,0.000138
1999,0.000000,0.000163
2000,0.000001,0.000195
2001,0.000000,0.000214
2002,0.000002,0.000231
2003,0.000000,0.000244
2004,0.000000,0.000285
2005,0.000000,0.000313
2006,0.000000,0.000393
2007,0.000000,0.000493
2008,0.000000,0.000596
2009,0.000003,0.000820
2010,0.000000,0.000817
2011,0.000000,0.000842
2012,0.000002,0.000837
2013,0.000000,0.000836
