year,Soraya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,6
1956,0
1957,6
1958,28
1959,20
1960,24
1961,39
1962,31
1963,31
1964,38
1965,40
1966,33
1967,24
1968,35
1969,32
1970,36
1971,49
1972,29
1973,34
1974,19
1975,33
1976,29
1977,27
1978,26
1979,31
1980,53
1981,44
1982,40
1983,40
1984,29
1985,36
1986,42
1987,49
1988,34
1989,52
1990,54
1991,49
1992,56
1993,55
1994,56
1995,66
1996,76
1997,74
1998,75
1999,67
2000,92
2001,100
2002,104
2003,135
2004,144
2005,172
2006,236
2007,236
2008,189
2009,170
2010,197
2011,219
2012,198
