year,Sheridan (F),Sheridan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000049
1892,0.000000,0.000000
1893,0.000000,0.000015
1894,0.000000,0.000000
1895,0.000000,0.000023
1896,0.000000,0.000017
1897,0.000000,0.000000
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000016
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000012
1912,0.000000,0.000014
1913,0.000000,0.000011
1914,0.000000,0.000016
1915,0.000000,0.000011
1916,0.000000,0.000010
1917,0.000000,0.000010
1918,0.000000,0.000011
1919,0.000000,0.000011
1920,0.000000,0.000009
1921,0.000000,0.000014
1922,0.000000,0.000011
1923,0.000000,0.000015
1924,0.000000,0.000012
1925,0.000000,0.000013
1926,0.000000,0.000016
1927,0.000000,0.000012
1928,0.000003,0.000016
1929,0.000000,0.000011
1930,0.000000,0.000012
1931,0.000000,0.000010
1932,0.000000,0.000006
1933,0.000000,0.000010
1934,0.000000,0.000013
1935,0.000000,0.000014
1936,0.000008,0.000016
1937,0.000006,0.000013
1938,0.000008,0.000020
1939,0.000010,0.000013
1940,0.000010,0.000018
1941,0.000013,0.000021
1942,0.000016,0.000016
1943,0.000021,0.000014
1944,0.000019,0.000012
1945,0.000012,0.000010
1946,0.000019,0.000014
1947,0.000020,0.000008
1948,0.000014,0.000010
1949,0.000013,0.000011
1950,0.000014,0.000007
1951,0.000012,0.000005
1952,0.000007,0.000004
1953,0.000007,0.000005
1954,0.000007,0.000008
1955,0.000006,0.000003
1956,0.000005,0.000003
1957,0.000006,0.000003
1958,0.000007,0.000004
1959,0.000006,0.000005
1960,0.000005,0.000005
1961,0.000007,0.000005
1962,0.000006,0.000004
1963,0.000007,0.000005
1964,0.000004,0.000004
1965,0.000008,0.000005
1966,0.000006,0.000005
1967,0.000008,0.000004
1968,0.000009,0.000007
1969,0.000012,0.000008
1970,0.000006,0.000008
1971,0.000012,0.000013
1972,0.000009,0.000009
1973,0.000008,0.000012
1974,0.000008,0.000010
1975,0.000009,0.000009
1976,0.000006,0.000009
1977,0.000008,0.000006
1978,0.000007,0.000007
1979,0.000009,0.000010
1980,0.000010,0.000009
1981,0.000005,0.000007
1982,0.000009,0.000005
1983,0.000006,0.000008
1984,0.000008,0.000005
1985,0.000010,0.000007
1986,0.000012,0.000006
1987,0.000012,0.000007
1988,0.000010,0.000008
1989,0.000019,0.000009
1990,0.000022,0.000013
1991,0.000027,0.000012
1992,0.000035,0.000012
1993,0.000040,0.000011
1994,0.000046,0.000009
1995,0.000047,0.000014
1996,0.000055,0.000011
1997,0.000060,0.000011
1998,0.000051,0.000010
1999,0.000054,0.000010
2000,0.000070,0.000006
2001,0.000082,0.000006
2002,0.000060,0.000005
2003,0.000054,0.000006
2004,0.000050,0.000005
2005,0.000040,0.000004
2006,0.000033,0.000002
2007,0.000030,0.000003
2008,0.000020,0.000002
2009,0.000022,0.000000
2010,0.000017,0.000002
2011,0.000014,0.000002
2012,0.000014,0.000000
2013,0.000010,0.000002
