year,Shalia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,6
1970,0
1971,0
1972,5
1973,8
1974,5
1975,0
1976,0
1977,6
1978,6
1979,5
1980,9
1981,9
1982,9
1983,12
1984,12
1985,11
1986,10
1987,11
1988,20
1989,18
1990,14
1991,15
1992,21
1993,19
1994,21
1995,23
1996,22
1997,13
1998,17
1999,22
2000,20
2001,18
2002,15
2003,16
2004,11
2005,11
2006,24
2007,15
2008,11
2009,15
2010,8
2011,9
2012,7
