year,Sebrina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,24
1956,18
1957,29
1958,28
1959,33
1960,35
1961,40
1962,33
1963,45
1964,30
1965,31
1966,42
1967,115
1968,92
1969,106
1970,141
1971,68
1972,55
1973,47
1974,46
1975,47
1976,51
1977,107
1978,65
1979,53
1980,69
1981,39
1982,31
1983,37
1984,27
1985,27
1986,22
1987,33
1988,20
1989,29
1990,20
1991,17
1992,31
1993,24
1994,33
1995,21
1996,35
1997,33
1998,22
1999,13
2000,17
2001,22
2002,12
2003,7
2004,5
2005,0
2006,8
2007,0
2008,5
2009,11
2010,7
2011,0
2012,9
