year,Saxon
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,6
1916,6
1917,6
1918,7
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,5
1970,0
1971,0
1972,8
1973,0
1974,0
1975,0
1976,0
1977,0
1978,6
1979,0
1980,0
1981,5
1982,0
1983,7
1984,6
1985,11
1986,19
1987,24
1988,23
1989,24
1990,26
1991,46
1992,43
1993,46
1994,48
1995,37
1996,51
1997,38
1998,25
1999,34
2000,49
2001,41
2002,37
2003,35
2004,32
2005,33
2006,52
2007,53
2008,48
2009,54
2010,43
2011,40
2012,32
