year,Slater
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,5
1918,6
1919,8
1920,0
1921,0
1922,0
1923,0
1924,0
1925,11
1926,5
1927,7
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,6
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,5
1958,5
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,5
1971,5
1972,5
1973,0
1974,0
1975,0
1976,0
1977,9
1978,0
1979,6
1980,7
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,5
1988,5
1989,8
1990,9
1991,23
1992,31
1993,43
1994,58
1995,40
1996,50
1997,35
1998,43
1999,52
2000,55
2001,58
2002,69
2003,53
2004,37
2005,49
2006,60
2007,56
2008,47
2009,51
2010,41
2011,58
2012,47
